"","Extraction_ID","Fwd_Index","Rev_Index","Sequencing_ID_16S","fungicide_treatment","shredder","replicate_num","sample_date","cycle","Conidia","Sample_combo"
"NG-18807_DFG_16S1_14","19","N501","RPI14","DFG_16S1_14","control","w/o","3","17/02/15","2","Y","TU-3_with_cycle3"
"NG-18807_DFG_16S1_15","20","N501","RPI15","DFG_16S1_15","control","w/o","1","3/02/15","1","Y","control_without_cycle2"
"NG-18807_DFG_16S1_16","21","N501","RPI16","DFG_16S1_16","TU-1","w/o","5","17/02/15","2","Y","control_without_cycle1"
"NG-18807_DFG_16S1_17","22","N501","RPI17","DFG_16S1_17","TU-1","w/o","3","17/02/15","2","Y","TU-1_without_cycle2"
"NG-18807_DFG_16S1_22","27","N501","RPI22","DFG_16S1_22","TU-1","w/o","2","17/02/15","2","Y","TU-2_with_cycle2"
"NG-18807_DFG_16S1_25","30","N501","RPI25","DFG_16S1_25","control","w/o","5","17/02/15","2","Y","TU-1_with_cycle2"
"NG-18807_DFG_16S1_31","36","N501","RPI31","DFG_16S1_31","control","w/o","2","3/03/15","3","Y","Cond_Leaves_Field"
"NG-18807_DFG_16S1_35","40","N502","RPI3","DFG_16S1_35","control","w/o","3","3/03/15","3","Y","TU-1_with_cycle3"
"NG-18807_DFG_16S1_37","42","N502","RPI5","DFG_16S1_37","control","w/o","2","3/02/15","1","Y","TU-1_with_cycle1"
"NG-18807_DFG_16S1_46","51","N502","RPI14","DFG_16S1_46","control","w/o","7","3/02/15","1","Y","TU-3_with_cycle1"
"NG-18807_DFG_16S1_48","53","N502","RPI16","DFG_16S1_48","control","w/o","7","17/02/15","2","Y","TU-3_with_cycle2"
"NG-18807_DFG_16S1_5","9","N501","RPI5","DFG_16S1_5","control","w/o","7","3/03/15","3","Y","control_without_cycle2"
"NG-18807_DFG_16S1_6","10","N501","RPI6","DFG_16S1_6","control","w/o","5","3/03/15","3","Y","control_without_cycle3"
"NG-18807_DFG_16S1_7","11","N501","RPI7","DFG_16S1_7","control","w/o","1","3/03/15","3","Y","control_without_cycle3"
"NG-18807_DFG_16S1_9","13","N501","RPI9","DFG_16S1_9","TU-1","w/o","3","3/03/15","3","Y","TU-1_without_cycle3"
"NG-18808_DFG_16S2_15","69","N502","RPI32","DFG_16S2_15","TU-1","w/o","1","3/02/15","1","Y","TU-3_with_cycle2"
"NG-18808_DFG_16S2_18","72","N503","RPI3","DFG_16S2_18","TU-1","w/o","3","3/02/15","1","Y","TU-1_with_cycle1"
"NG-18808_DFG_16S2_20","74","N503","RPI5","DFG_16S2_20","control","w/o","5","3/02/15","1","Y","TU-3_with_cycle1"
"NG-18808_DFG_16S2_21","75","N503","RPI6","DFG_16S2_21","TU-1","w/o","1","3/03/15","3","Y","control_without_cycle1"
"NG-18808_DFG_16S2_24","78","N503","RPI9","DFG_16S2_24","TU-1","w/o","2","3/03/15","3","Y","Cond_Leaves_Field"
"NG-18808_DFG_16S2_26","80","N503","RPI11","DFG_16S2_26","control","w/o","3","3/02/15","1","Y","Cond_Leaves_Field"
"NG-18808_DFG_16S2_27","81","N503","RPI12","DFG_16S2_27","TU-1","w/o","5","3/03/15","3","Y","control_without_cycle1"
"NG-18808_DFG_16S2_28","82","N503","RPI13","DFG_16S2_28","control","w/o","1","17/02/15","2","Y","TU-1_without_cycle3"
"NG-18808_DFG_16S2_3","57","N502","RPI20","DFG_16S2_3","TU-1","w/o","5","3/02/15","1","Y","control_with_cycle3"
"NG-18808_DFG_16S2_34","88","N503","RPI19","DFG_16S2_34","TU-1","w/o","7","3/03/15","3","Y","control_with_cycle3"
"NG-18808_DFG_16S2_39","93","N503","RPI24","DFG_16S2_39","TU-1","w/o","2","3/02/15","1","Y","control_with_cycle2"
"NG-18808_DFG_16S2_42","96","N503","RPI27","DFG_16S2_42","TU-1","w/o","7","3/02/15","1","Y","TU-2_with_cycle1"
"NG-18808_DFG_16S2_43","97","N503","RPI28","DFG_16S2_43","TU-1","w/o","7","17/02/15","2","Y","TU-1_without_cycle1"
"NG-18808_DFG_16S2_9","63","N502","RPI26","DFG_16S2_9","TU-1","w/o","1","17/02/15","2","Y","TU-2_with_cycle2"
"NG-18808_DFG_16S2","54","N502","RPI17","DFG_16S2_0","control","w/o","2","17/02/15","2","Y","TU-1_without_cycle2"
